Ticker,Maturity,Analysis_Date,Expiry_Date,S0,ST,Premium,Actual_PnL,Delta_PnL,Gamma_PnL,Theta_PnL,PnL_Diff
RIVN,30,2025-09-24,2025-10-24,15.789999961853027,12.979999542236328,0.8362553799462713,-0.8362553799462713,-1.5091114891344486,0.7735205119340574,-0.4309369939715921,0.33027259122571206
RIVN,30,2025-10-24,2025-11-24,12.979999542236328,15.170000076293945,0.6608250481643871,1.52917548589323,1.1749449837708645,0.5955605229992864,-0.34105564874454064,0.09972562786761974
RIVN,30,2025-11-24,2025-12-23,15.170000076293945,21.18000030517578,1.5009167052807832,4.509083523601053,3.3332526196410766,1.925010515104992,-0.7581971235802686,0.009017512435252506
RIVN,60,2024-12-27,2025-02-26,13.649999618530273,11.399999618530273,1.9446928957576262,-1.9446928957576262,-1.3002731558371645,0.20680812018144926,-0.9810640256658,0.12983616556388888
RIVN,60,2025-02-26,2025-04-28,11.399999618530273,13.1899995803833,1.0810592464595823,0.708940715393445,0.9996341396020169,0.24145197802634458,-0.5558035196127045,0.023658117377788113
RIVN,60,2025-04-28,2025-06-26,13.1899995803833,13.90999984741211,1.480994110243043,-0.7609938432142345,0.4068931778210151,0.02823269499686448,-0.7553883348323334,-0.44073138119978067
RIVN,60,2025-06-26,2025-08-25,13.90999984741211,13.109999656677246,0.9045244779791481,-0.9045244779791481,-0.4398198080452255,0.05901350626518738,-0.4746869136605841,-0.049031262538525855
RIVN,60,2025-08-25,2025-10-24,13.109999656677246,12.979999542236328,1.010277855650001,-1.010277855650001,-0.07184699177416695,0.0013798655952219736,-0.5249706874123156,-0.41484004205874037
RIVN,60,2025-10-24,2025-12-23,12.979999542236328,21.18000030517578,0.946669658762886,7.253331104176567,4.522734904593414,5.879318998507009,-0.49342959374215273,-2.655293205181703
RIVN,90,2024-12-27,2025-03-28,13.649999618530273,12.40999984741211,2.38553981012587,-2.38553981012587,-0.7379263728445252,0.0507933576062771,-1.2003410725168229,-0.49806572237079916
RIVN,90,2025-03-28,2025-06-26,12.40999984741211,13.90999984741211,1.5177657497896906,-0.017765749789690588,0.860193442307682,0.12041889200289045,-0.7805024451117557,-0.21787563898850737
RIVN,90,2025-06-26,2025-09-24,13.90999984741211,15.789999961853027,1.1199353048259528,0.7600648096149651,1.0544581993609357,0.26505890505598856,-0.5923924991947966,0.03294020439283751
RIVN,90,2025-09-24,2025-12-23,15.789999961853027,21.18000030517578,1.4791659691554946,3.9108343741672593,3.039898821547893,1.6289936564696703,-0.7738308139893162,0.015772710139012602
ACAD,30,2024-12-27,2025-01-27,16.950000762939453,18.270000457763672,0.872208489171431,0.44779120565278774,0.7083727034542961,0.1638525003927049,-0.44996357142470905,0.025529573230495706
ACAD,30,2025-01-27,2025-02-26,18.270000457763672,19.0,1.0965377338278142,-0.36653819159148604,0.39360710465295834,0.039611947957013054,-0.5625003940070958,-0.2372568501943616
ACAD,30,2025-02-26,2025-03-28,19.0,17.06999969482422,0.9496961104683255,-0.9496961104683255,-1.0350032564079215,0.3221056980784439,-0.4905008269250955,0.25370227478624763
ACAD,30,2025-03-28,2025-04-28,17.06999969482422,14.65999984741211,0.7080298336763828,-0.7080298336763828,-1.2884660819474123,0.6795490551578027,-0.3686498760446208,0.2695370691578476
ACAD,30,2025-04-28,2025-05-27,14.65999984741211,22.190000534057617,0.7197541989410352,6.810246487704473,4.036502467293983,6.474616064661958,-0.37200805149897825,-3.3288639927524892
ACAD,30,2025-05-27,2025-06-26,22.190000534057617,22.209999084472656,2.093127785569356,-2.073129235154317,0.011051428528653671,1.5312590260866275e-05,-1.0588137045404362,-1.0253822717327954
ACAD,30,2025-06-26,2025-07-25,22.209999084472656,23.25,1.8767960164039401,-0.8367951008765964,0.570388364338678,0.04637654208801609,-0.9524187756304872,-0.5011412316728033
ACAD,30,2025-07-25,2025-08-25,23.25,25.31999969482422,0.858193754683052,1.2118059401411667,1.1059568683162113,0.4161587793915007,-0.44942632808608063,0.13911662051953533
ACAD,30,2025-08-25,2025-09-24,25.31999969482422,21.260000228881836,0.8880263537155209,-0.8880263537155209,-2.169201404400801,1.5516293687968152,-0.46632490972110313,0.195870591609568
ACAD,30,2025-09-24,2025-10-24,21.260000228881836,22.020000457763672,1.1388071029552762,-0.37880687407344027,0.40828620714746494,0.04153075413131135,-0.5865944288579652,-0.24202940649425136
ACAD,30,2025-10-24,2025-11-24,22.020000457763672,23.899999618530273,1.2524811169639172,0.6275180438026844,1.0118024756212887,0.23050094485953773,-0.6437192109906718,0.028933834312529827
ACAD,30,2025-11-24,2025-12-23,23.899999618530273,27.829999923706055,1.2097850077385157,2.7202152974372655,2.1081695264103364,1.0478724165831925,-0.6245189070864426,0.18869226153017937
ACAD,60,2024-12-27,2025-02-26,16.950000762939453,19.0,1.2492634250706853,0.8007358119898615,1.1310922326807615,0.2782661427124565,-0.6507625708237005,0.04214000742034407
ACAD,60,2025-02-26,2025-04-28,19.0,14.65999984741211,1.3609207426098475,-1.3609207426098475,-2.392313497333365,1.146959871412336,-0.7100818273756462,0.5945147106868276
ACAD,60,2025-04-28,2025-06-26,14.65999984741211,22.209999084472656,1.031732650003665,6.518266587056882,4.159457022168697,4.583784768530834,-0.5388726056541024,-1.6861025979885476
ACAD,60,2025-06-26,2025-08-25,22.209999084472656,25.31999969482422,2.669022754980041,0.44097785537152134,1.7675685497816873,0.2910839778462084,-1.3571107688485553,-0.2605639034078189
